,text,hoax
32,Efikasi dan Efektivitas: Faktor Penting Vaksin Berkualitas,0
33,"1,8 Juta Vaksin COVID-19 Tambahan Tiba di Tanah Air, Bukti Nyata Komitmen Pemerintah Lindungi Masyarakat",0
34,Perhatikan Peredaran Udara di Ruang Berpendingin pada Masa Pandemi COVID-19,0
35,Yuri: Manajemen Informasi Penting untuk Kendalikan Kepanikan,0
36,Vaksin yang disimpan -80 Derajat Bukanlah Vaksin Melainkan Agen Transfeksi yang Dapat Memanipulasi Genetika Manusia,1
37,"Angka Kasus Sembuh COVID-19 Tumbuh Menjadi 2.698, Meninggal 973 Orang",0
38,Tulisan Aa Gym PERJUANGAN KITA MENAHAN DIRI DIRUMAH AJA DI HIANATI LAGI,1
39,Mantan Manajer RAPP dan Istri Terpapar COVID-19,1
40,Infografis COVID-19 (12 Juni 2020),0
41,Kesembuhan COVID-19 Mencapai 505.836 Orang,0
42,Analisis Data COVID-19 Indonesia (Update Per 25 Oktober 2020),0
43,Ketua Gugus Tugas Tinjau Kesiapan Balai Jasa Konstruksi IV Surabaya,0
44,Positif COVID-19 di Indonesia Mencapai 5.136 Kasus dan 446 Pasien Sembuh,0
45,Selalu 3M Guna Cegah Peningkatan Penyebaran Virus COVID-19 Pada Komunitas dan Risiko Individu,0
46,KPPPA: Mendongeng Bisa Siasati Kebosanan Anak Akibat Dampak COVID-19,0
47,Sri Mulyani: Pemerintah Pusat Tidak Memiliki Uang Untuk Membayar Utang Ke Pemprov DKI Jakarta,1
48,Kabupaten/Kota Dengan Kasus Aktif Diatas 1.000 Jumlahnya Menurun,0
49,Klaim Hadi Pranoto Soal COVID-19,1
50,Video Benarkah COVID ada??,1
51,Analisis Data COVID-19 Indonesia (Update Per 13 Desember 2020),0
52,"Orang Karangturi, Balak Cawas, Sudah Tertular Virus Corona",1
53,Polri: Penegakan Hukum Tetap Kedepankan Physical Distancing,0
54,Corona itu adanya di China bukan di sini. Di sini Cuma di ada adakan,1
55,Vaksin Terbukti Manjur Cegah Penyakit Tertentu,0
56,BPOM Kawal Uji Klinik Vaksin COVID-19 di Indonesia,0
57,Jubir: Mulai Hari Ini Terapkan #MaskerUntukSemua Saat di Luar,0
58,Lima Wilayah DKI Jakarta Berisiko Tinggi Penularan COVID-19,0
59,Rumah DP 0% DKI Jakarta dengan Foto Peti Mati,1
60,[BERITA] “LIPI Ungkap Teori Virus Corona COVID-19 Bukan Senjata Biologi”,1
61,Pengamanan dan Penegakan Hukum di Masa Pandemi COVID-19,0
62,Peta Sebaran Covid-19 Wilayah Situbondo,1
63,Satgas Covid-19: Jangan Takut dan Ragu Karena Vaksin Aman dan Halal,0
64,Infografis COVID-19 (28 April 2020),0
65,Inilah 5 Juru Bicara Vaksinasi COVID-19,0
66,Hotel Isolasi Mandiri di Jakarta Terisi 387 OTG,0
67,Doni Monardo Resmikan RS Lapangan Pemprov Jatim,0
68,Tiongkok dan Luhut Pandjaitan Merencanakan Pembunuhan Massal Terhadap Pribumi dengan 40 Ribu Ton Alat Tes Covid-19,1
69,Terapkan 3T dan Tingkatkan Disiplin Protokol Kesehatan,0
70,Pastikan Sanitasi untuk Pengungsi Korban Banjir,0
71,"Sikapi Jual-Beli di Pasar, Ketum IKAPPI: Pasti Aman dengan Protokol Kesehatan",0
72,Vaksin COVID-19 Produksi Sinovac Suci dan Halal,0
73,"Update COVID-19 Jabar, Dewi: Pekan Terakhir Peningkatan Kasus Cukup Tinggi pada Lima Kabupaten/Kota",0
74,Indonesia Gunakan Fasilitas Obrolan Elektronik Chatbot COVID-19 Melalui WhatsApp,0
75,Pasien Sembuh COVID-19 Tetap Wajib Patuhi Protokol Kesehatan,0
76,Inisiatif Isolasi Mandiri Sebagai Upaya Cegah Penyebaran COVID-19,0
77,Infografis COVID-19 (30 Juni 2020),0
78,104 Kabupaten dan Kota Masuk Daftar Zona Hijau,0
79,Menko PMK Tekankan Vaksinasi Memprioritaskan Garda Depan,0
80,"Presiden: Langkah Penanganan COVID-19 Harus Cepat, Tepat, dan Akuntabel",0
81,Video Seorang Ibu dan Dua Anaknya Gantung Diri di Ujung Jaya Sumedang,1
82,Berpikir dan Berperilaku Positif Menghadapi COVID-19,0
83,Corona Jihad: Seorang Pedagang Sengaja Meludahi Bungkus Makanan,1
84,Konser Virtual Hibur Warga Aman dari COVID-19,0
85,Ramadan di Rumah Tak Mengurangi Kualitas Ibadah,0
86,Vaksin Ada Kandungan Zat Berbahaya,0
87,Apakah Vaksin Memiliki Efek Samping?,0
88,Pemerintah Wajibkan Warga Kenakan Masker Saat Beraktivitas di Luar Rumah,0
89,"Keberhasilan Melawan Pandemi COVID-19, Dokter Reisa: Kebersamaan",0
90,[FALSE] Videos of “Italian Suicide Who Lost Entire Family to Corona”,1
91,Pemerintah Tidak Pungut Biaya Penyaluran Insentif Kartu Prakerja,0
92,Tips Tetap Kreatif di Tengah COVID-19,0
93,Optimisme Indonesia Meningkat Dalam Penanganan COVID-19 dan Pemulihan Ekonomi,0
94,Jokowi Korupsi 59 Triliun di Tengah Wabah Corona,1
95,"New Fatwa ‘Sholat Tanpa Wudhu Tanpa Tayamum’ Dari Mbah Kakung,Yang Akan Di Keluarkan Untuk Rakyat Negeri +62",1
96,Artikel Gawat! Mensos Risma Akan Hapus Semua BLT Untuk Kedepannya,1
97,"Modus Menghabisi Ustadz, Disuntik COVID-19 Sampai Mati",1
98,Kemenkes-UNICEF Tandatangani Kerja Sama Pengadaan Vaksin dan Obat yang Terjangkau,0
99,Aman dan Efektif Adalah Prinsip Utama Vaksin Covid-19,0
100,Pemda Diharapkan Perkuat WFH dengan Diiringi Pemenuhan Kebutuhan Dasar,0
101,"Kasus Positif COVID-19 Bertambah 1.671, Meninggal 66 dan Sembuh 1.190 Orang",0
102,"Gunakan Bagian Putih Masker Di Luar Saat Tidak Sakit, Gunakan Bagian Biru Masker Di Luar Saat Sakit",1
103,30 Pembantu Baru Positif Corona di Penjaringan,1
104,KemenPAN-RB: ASN Dilarang Mengajukan Cuti Selama COVID-19,0
105,Program Pemulihan Ekonomi Nasional Capai Realisasi Lebih dari Rp 500 Triliun,0
106,Sekeluarga Terinfeksi Covid-19 Setelah Menghadiri Acara Ulang Tahun,1
107,Pemerintah Telah Periksa 6.500 Orang Terkait COVID-19,0
108,Hindu di India Melemparkan Patung Buatan Mereka ke Laut karena Tidak Bisa Menolong Mereka dari Corona,1
109,Daftar Perlengkapan Medis di Rumah Untuk Hadapi Covid-19,1
110,Infografis COVID-19 (3 Mei 2020),0
111,"Di Tanya soal virus Corona KORLAP FPI: Hanya Imam Besar kami yg punya Penangkal virus Corona, karna Imam besar kami cucu Nabi",1
112,TERNYATA SUDAH 10 hari PENDEMO tidak ada yang kena COVID 19,1
113,Patuhi Protokol Kesehatan Guna Menekan Positivity Rate,0
114,Satgas Penanganan COVID-19 Minta Masyarakat Tetap Terapkan Protokol Kesehatan,0
115,Usung Seni Partisipasi di Masa Pandemi,0
116,Resep Tung Desem Atasi dan Pulih dari COVID-19,0
117,Infografis COVID-19 (4 Juni 2020),0
118,Penanganan COVID di 13 Provinsi Prioritas Membaik,0
119,"Tadi Malem di Amerika Serikat, Sholat Magrib Berjamaah di Mesjid Sampai Tumpah Ruah di Jalan Raya",1
120,Video JENAZAH DI PERLAKUKAN SEPERTI MENGUBURKAN BINATANG,1
121,Alhamdulillah Akhirnya Aceh Bisa Berangkat Haji Tanpa Melalui Indonesia,1
122,Tiga Wanita Bintang Iklan Jamu Covid-19,1
123,"Kasus Sembuh COVID-19 Menjadi 222, Positif 2.956",0
124,Kebijakan Kesehatan dan Pemulihan Ekonomi Harus Berjalan Beriringan,0
125,Menristek: Ventilator untuk Pasien COVID-19 Produksi Indonesia Sebagian Masih Uji Endurance,0
126,Awas Hoaks: Vaksin Sinovac memberi efek samping pembesaran alat kelamin,0
127,"Testing Covid-19 Per November Meningkat Menjadi 90,64% Dari Target WHO",0
128,Pasien Sembuh Dari COVID-19 Total Mencapai 129.971 Orang,0
129,Aliansi Pemuda Surabaya: Dokter garda terakhir penanganan COVID-19,0
130,Penggunaan masker yang berkepanjangan mengakibatkan hipoksia.,1
131,Pemasangan Barcode pada Badan Manusia,1
132,Infografis COVID-19 (26 Mei 2020),0
133,Elisa Granato kelinci percobaan vaksin kopit di inggris meninggal 2 hari setelah divaksin,1
134,"Harga Vaksin COVID-19, Pemerintah Tak Ingin Bebankan Masyarakat",0
135,Pasien Sembuh COVID-19 Terus Bertambah Menjadi 536.260 Orang,0
136,Realisasi Anggaran PEN Hampir 50%,0
137,Air Rebusan Bawang Putih Dapat Menyembuhkan COVID-19,1
138,Gubernur SUMUT Instruksikan Seluruh MASJID Buka Pintu Selapang Lapangnya untuk Orang Ibadah,1
139,Presiden Jokowi dan Ibu Negara Ucapkan Selamat Idulfitri,0
140,"Menjaga Jarak di Tengah Pandemi, Ustad Maulana: Sudah Dianjurkan dalam Agama Kita",0
141,Ketua Gugus Tugas Puji Penanganan COVID-19 Berbasis Kearifan Lokal di Maluku Utara,0
142,Pemda Harus Optimalkan 3T Guna Tekan Penularan Covid-19,0
143,Pemerintah RRT Serahkan Bantuan Kemanusian Penanganan COVID-19,0
144,"Mudik Tetap Dilarang, Kemenhub Dukung dan Tindaklanjuti SE Gugus Tugas",0
145,Hirup Uap Air Panas Dua Kali Sehari Dapat Menangkal Covid-19,1
146,Program Pemulihan Ekonomi Nasional Klaster Perlindungan Sosial Akan Tercapai 100%,0
147,Donald Trump Umumkan Roche Medical Company akan Meluncurkan Vaksin Covid19 Jutaan Dosis Minggu Depan,1
148,Infografis COVID-19 (17 Agustus 2020),0
149,Satgas Imbau Agar Penyampaian Aspirasi Tetap Perhatikan Protokol Kesehatan,0
150,Penularan COVID-19 Sangat Mungkin Terjadi dalam Perjalanan Mudik,0
151,Penanganan COVID-19 Yang Lebih Cepat Melalui Perpres Nomor 82 Tahun 2020,0
152,Kominfo: Penyebar Hoaks COVID-19 Diancam Sanksi Kurungan dan Denda 1 Miliar,0
153,Usia 50 ke Atas Dilarang Masuk Mal Hingga Makan di Kafe pada Fase New Normal,1
154,"Sistem ""Bersatu Lawan COVID"" Percepat Alur Pelaporan Data",0
155,Inilah Tahapan Vaksinasi COVID-19,0
156,"Imigran China Sengaja Membawa Virus, Tujuannya Membasmi Rakyat +62",1
157,Bagaimana Vaksin Bekerja?,0
158,TNI-POLRI Kawal Pengiriman Vaksin,0
159,Kabupaten/Kota Dengan Kasus Aktif Tertinggi Harus Tekan Penularan COVID-19,0
160,"Total Pemeriksaan Capai 21.233 Spesimen, Angka Kasus Sembuh 417",0
161,"PSBB di Kota Medan dilaksanakan selama 14 hari, mulai 3 hingga 17 Oktober 2020",1
162,Cerita Ketika Ketua Gugus Tugas Berkantor dan Rapat di Rest Area KM 360,0
163,Anies Ngumpet Pura-Pura Positif Corona,1
164,Analisis Data COVID-19 Indonesia (Update Per 5 Juli 2020),0
165,Presiden Jokowi Akan Tinjau RS Darurat di Pulau Galang,0
166,Suka Duka Relawan Perempuan Satu-Satunya yang Jadi Supir Ambulans,0
167,Hidup Sehat dan Berhenti Merokok Untuk Menghindari Dampak Terburuk COVID-19,0
168,Kemenkes: Batasan Biaya Tertinggi Rapid Test Berlaku untuk Pasien Mandiri,0
169,Yuri: Prosentase Kesembuhan Pasien COVID-19 di 13 Provinsi Lampaui Rata-Rata Global,0
170,Kandungan Formaldehida pada Vaksin Menyebabkan Leukimia pada Anak,1
171,Menkes Dukung Perubahan Poltekkes Menjadi Institut,0
172,Pasien Sembuh Kumulatif Menjadi 289.243 Orang,0
173,"Kandidat Vaksin COVID-19 di Indonesia, Mandiri dan Kolaboratif",0
174,"Jumlah Pasien Sembuh Meningkat, Gugas Optimis COVID-19 Bisa Disembuhkan dengan Baik",0
175,Satgas COVID-19: Pengumuman Program Vaksinasi Tunggu Keputusan Pemerintah,0
176,Tim Kampanye Donald Trump Galang Dana Untuk Kesembuhan Trump,1
177,Minum Teh Dengan Batang Lada Dapat Sembuhkan Covid-19,1
178,3X3 Ala Satgas Penanganan COVID-19 Lindungi Anak dari Pandemi,0
179,"Catat, Ini Jadwal dan Aturan Pemberlakuan Larangan Mudik 2020 dari Pemerintah",0
180,LIPI Latih 800 Relawan untuk Perluas Pemeriksaan Spesimen COVID-19,0
181,Infografis COVID-19 (13 September 2020),0
182,Penambahan Pasien Sembuh Harian Melesat Menjadi 4.777 Pasien,0
183,Dosen Kedokteran Gigi UI Meninggal Karena COVID-19,1
184,Gratis Langganan Netflix Selama Satu Tahun karena Pandemi Covid-19,1
185,Infografis COVID-19 (22 Mei 2020),0
186,Pasien Sembuh Menembus Angka 225.052 Kasus,0
187,Seni dan Ekspresi Maria Taklukan Corona,0
188,Infografis COVID-19 (23 April 2020),0
189,"Pandemi Corona, Anies Baswedan: Universitas di Jakarta Diliburkan, Kecuali Universitas Pancasila",1
190,Menjadi Pelindung Keluarga dengan Tetap Aman COVID-19 dan Produktif,0
191,Presiden: Butuh Sinergi Erat untuk Tangani COVID-19,0
192,Forkopimda Jatim Sepakati Permintaan Tiga Kepala Daerah Surabaya Raya untuk Akhiri PSBB dan Masuki Transisi Menuju New Normal Life,0
193,Kesembuhan Kumulatif Covid-19 Sebanyak 422.386 Orang,0
194,"Takut Dibunuh, Ahli Virus China Kabur ke AS: Saya Bersaksi Covid-19 Hasil Persekongkolan Jahat",1
195,Infografis COVID-19 (10 Juni 2020),0
196,Operasi Ketupat Dilakukan Lebih Awal Sebagai Antisipasi PSBB Cegah COVID-19,0
197,Jutaan Produksi Rokok Yang Terpapar Covid-19 Beredar Luas Di Masyarakat,1
198,Terima Kasih bagi Semua yang Bergotong Royong #BersatuLawanCOVID19,0
199,Kemenristek/BRIN dan LPDP Kucurkan Dana Rp 242 Miliar untuk Prioritas Riset Nasional,0
200,Satu Pasien Pertama Suspect Corona Terdeteksi di Atambua,1
201,AWAS HOAKS - MUI Larang Gunakan Vaksin COVID-19 Asal Tiongkok,0
202,Hanya di Indonesia Narapidana Dibebaskan di Tengah Wabah COVID-19,1
203,Kesembuhan Pesat Pasien COVID-19 Terjadi di Sumatera Barat,0
204,Presiden Jokowi Menjadi Dokter,1
205,Foto Dokter Menyatakan COVID-19 Disebarkan Melalui Vaksin,1
206,Instruksi dari Presiden Terkait Vaksinasi COVID-19,0
207,"Kasus Positif COVID-19 Bertambah 2.657, Meninggal 58, Pasien Sembuh Jadi 32.651",0
208,Wakil Wali Kota Probolinggo Meninggal Dunia,1
209,Pemerintah Takkan Umumkan Lagi Kasus Positif Covid-19,1
210,Orang Tua dan Anak Bisa Terus Asah Kreativitas Saat Pandemi,0
211,China Sembuh dari COVID-19 Tanpa Vaksin,1
212,BNPB Dorong Komitmen Penanganan COVID-19 Melalui Kolaborasi Pentaheliks,0
213,Infografis COVID-19 (14 September 2020),0
214,Pasien Sembuh Mencapai 152.458 Kasus,0
215,"Kasus Positif COVID-19 Bertambah 634 Orang, Pasien Sembuh Jadi 5.057, Total Meninggal 1.326",0
216,Pemerintah Kota Surakarta menetapkan lockdown per 10 Desember – 20 Januari 2021,1
217,Presiden Minta Kasus Positif COVID-19 di Aceh Tidak Dibiarkan Membesar,0
218,"Tentang Virus, Antivirus, Vaksin, dan Genome",0
219,Kesembuhan dari COVID-19 di Tingkat Nasional Tembus Angka 91.321 Kasus,0
220,Indikator Kesehatan Masyarakat Tentukan Penilaian Risiko Penularan COVID-19,0
221,"Kasus Positif COVID-19 Baru Ditemukan 847 Orang, Totalnya 32.033",0
222,Para Kepala Staf TNI Siap Dukung Penerapan Adaptasi Kebiasaan Baru,0
223,Infografis COVID-19 (18 Juli 2020),0
224,Tips Orang Tua Hadapi Anak di Masa Pandemi,0
225,"MUI Ingatkan Umat Muslim Hindari Kerumunan, Termasuk Ibadah Berkerumun",0
226,Dokter Reisa: Penanganan Korban Kekerasan Selama Pandemi Harus Lebih Cermat,0
227,Satgas Ingatkan Pemda Tak Lengah Sikapi Zonasi,0
228,"Dukung Pemerintah Melawan COVID-19, Bank bjb Serahkan Bantuan Melalui Gugus Tugas Nasional",0
229,Dana Bantuan Pemerintah Rp100 Ribu untuk Pelanggan Setia Telekomunikasi Selular Indonesia,1
230,Pemerintah Ingatkan Pandemi Tak Kenal Kata Libur,0
231,Gugus Tugas Catat Donasi Penanganan COVID-19 Capai Rp83 Miliar,0
232,Analisis Data COVID-19 Indonesia (Update Per 1 November 2020),0
233,Presiden Jokowi Instruksikan Penguatan Faskes Tingkat Pertama untuk Efektifkan Penanganan COVID-19,0
234,"Tinjau Stasiun Manggarai, Ketua Gugus Tugas: Kepatuhan Masyarakat Meningkat",0
235,Virus Corona adalah Sejenis Jamur atau Mould,1
236,Infografis COVID-19 (19 Juni 2020),0
237,Ratusan Ikan Dari Ambon Diterbangkan ke Jakarta untuk Pasien COVID-19,0
238,"Foto Demonstrasi di Paris, Prancis",1
239,"Pemerintah Larang ASN, TNI, Polri, dan Pegawai BUMN untuk Mudik di Tengah Pandemi COVID-19",0
240,Imbauan Kapolresta Solo Tentang Karantina Bagi Pendatang Mulai Tanggal 15 Desember 2020,1
241,Krisis Ekonomi di Perancis Disebabkan oleh Pemboikotan Produk Perancis,1
242,Hari Kedua Setelah Dibuka Tower 4 Flat Isolasi Mandiri Wisma Atlet Terisi 34%,0
243,Menteri Luar Negeri: Diplomasi Vaksin Terus Dilanjutkan Untuk Mengawal Vaksinasi COVID-19,0
244,"BERSEPEDA PAKAI MASKER, MAKAN KORBAN JIWA DI DENPASAR",1
245,Satgas COVID-19 Ingatkan Pemda Tetap Waspada dan Tidak Lengah,0
246,Peran Media Saat Masa Transisi Menuju Aman COVID-19 dan Produktif,0
247,Infografis COVID-19 (11 November 2020),0
248,"Gerakan Bermasker Di Masyarakat, Kolaborasi Multi Pihak Kunci Pencegahan",0
249,Disiplin Kuat Masyarakat Kunci Sukses Penanganan COVID – 19 di Selandia Baru,0
250,Presiden Ajak Masyarakat untuk Panjatkan Doa dan Tetap Optimistis Hadapi Pandemi,0
251,Satgas COVID-19: Pastikan Tidak Terjadi Penumpukan dan Kerumunan di TPS Pilkada,0
252,Video Sekarang Gantian Para Monyet Menikmati Renang di Hotel (Efek Hotel di BaLi Sepi Pengunjung),1
253,"Presiden: Turunkan Angka Kematian, Tingkatkan Angka Kesembuhan, dan Kendalikan Laju Penularan COVID-19",0
254,Vaksin dan 3M Dijalankan Berdampingan Untuk Proteksi Diri,0
255,"Kasus Positif COVID-19 Naik 467 Orang, Sebanyak 15 Provinsi Tak Laporkan Penambahan Kasus",0
256,Penguatan Surveilans Virologi  Mengantisipasi Strain Virus Baru,0
257,Lebih dari 50 Persen Kabupaten/Kota di Bawah Rata-rata Angka Kasus Aktif dan Kematian Dunia,0
258,Vaksin Dapat Cegah dan Kendalikan Wabah Penyakit,0
259,Gotong Royong Kunci Bangsa Indonesia Merespons Pandemi Covid-19,0
260,Minum Minyak Kayu Putih Dapat Menyembuhkan COVID-19,1
261,Kesembuhan Kumulatif Terus Meningkat Menjadi 526.979 Orang,0
262,Presiden: Fokuskan Semua Kekuatan Kita pada Upaya Penanganan COVID-19,0
263,Sumpah Pemuda Momentum Bersatu Melawan COVID-19,0
264,Doni Monardo Prihatinkan Kerumunan yang Langgar Protokol Kesehatan,0
265,3M-3T-Vaksinasi: Penularan Terhambat - Pandemi Melambat - Ekonomi Meningkat,0
266,Presiden Dorong Sinergi dan Kolaborasi antar Negara ASEAN untuk Tangani COVID-19,0
267,Lawan COVID-19 dengan 3K,0
268,Peraturan Menteri Kesehatan Republik Indonesia Nomor 84 Tahun 2020,0
269,Raja Thailand panggil ulama Islam baca doa tolak bala covid 19,1
270,Update Data Link Website Terkait Penanganan COVID-19,0
271,Penanganan COVID-19 Meningkat Signifkan Dibandingkan Awal Pandemi,0
272,Biden Terpapar COVID-19 dan Batuk Terus-Menerus Saat Kampanye,1
273,Masyarakat Diajak Teladani Perjuangan Pahlawan dengan Cegah Covid-19 ,0
274,Infografis COVID-19 (6 Mei 2020),0
275,"Ketua Satgas COVID-19 Doni Monardo, “Mereka yang Abai Protokol Kesehatan dan Sebabkan Korban Jiwa Akan Diminta Pertanggungjawaban di Dunia dan Akhirat”",0
276,Tahap Awal Pengadaan Vaksin COVID-19,0
277,Kerumunan Pemicu Klaster Baru,0
278,Video Gereja Minta Diazankan Corona Ga Aktif Bila Didengarkan Azan,1
279,CEO Kitabisa.com: Dana Rp 130 Miliar Terkumpul untuk Bantu Sesama Selama Pandemi COVID-19,0
280,Belajar dari Sejarah Pandemi Flu Spanyol 1918,0
281,Kapal Rute Banda Aceh Sabang Distop karena Virus Corona,1
282,Sambal Bawang Bisa Cegah Covid19,1
283,Satgas Covid-19: Kebijakan PPKM Upaya Menjamin Keselamatan Masyarakat,0
284,Satgas COVID Ingatkan Masyarakat Disiplin Jalankan 3M,0
285,Butuh Penguatan Sosial Guna Mengikis Habis Stigma COVID-19,0
286,Infografis COVID-19 (2 November 2020),0
287,Pemerintah Siapkan Aturan Penyebaran Vaksin Agar Tepat Sasaran,0
288,Penanganan COVID-19 Indonesia Lebih Baik Dari Rata-rata Dunia,0
289,Kabupaten dan Kota Menuju Aman dan Produktif COVID-19,0
290,Lebih Dari 19.500 Orang Jalani Pemeriksaan COVID-19 di Indonesia,0
291,Syarat Ketat BPOM untuk Persetujuan Penggunaan Darurat Vaksin COVID-19,0
292,Maklumat Kapolri Mengantisipasi Penyebaran Pandemik COVID-19 di Tengah Masyarakat,0
293,Kasus Baru Positif COVID-19 Hasil Tracing Secara Masif,0
294,Rekrutmen CPNS 2020 Ditiadakan,0
295,"Bisnis Kuliner Penuh Risiko, Ditolak? Sudah Biasa",0
296,Peta Zona Merah Virus Corona Wilayah Purwokerto,1
297,Menko Polhukam: Larangan Mudik Berlaku Sejak 24 April 2020,0
298,Saya merasa sakit. Apakah ini virus corona? Apakah saya perlu ke Rumah Sakit?,0
299,Sebanyak 164 Orang Sembuh dan 2.273 Positif COVID-19 di Indonesia,0
300,Pemerintah Umumkan Penyesuaian Keputusan Bersama Empat Menteri  tentang Panduan Pembelajaran di Masa Pandemi COVID-19,0
301,Sistem Distribusi Vaksin Dikelola Secara Terintegrasi,0
302,"Badan POM Terus Kawal Keamanan, Khasiat, dan Mutu Vaksin COVID-19",0
303,"Pasien Sembuh COVID-19 Bertambah 235 Orang, Kasus Positif Naik 415, Meninggal 27",0
304,Psikiater: Batasi Informasi Berita Berlebihan untuk Jaga Kesehatan Jiwa Selama Pandemi COVID-19,0
305,Gugus Tugas Nasional Umumkan 136 Kabupaten dan Kota Zona Kuning,0
306,"Operasi Yustisi Diluncurkan, Dorong Masyarakat Tingkatkan Disiplin Protokol Kesehatan dengan Penindakan Langsung",0
307,"Dokter Reisa: Mari Kita Kompak, Bersama-sama Kita Pasti Bisa Lawan COVID-19",0
308,Foto Keluarga CEO BioNTech,1
309,Para Pemangku Kepentingan Vaksin COVID-19 Diminta Patuhi Ketentuan Perpres No. 99 Tahun 2020,0
310,Bantuan Covid-19 oleh BRI Melalui BRIVA,1
311,Dinkes Bantul Keluarkan Surat Penutupan Sementara KYKU Production Sablon,1
312,Satgas COVID-19: Menghalangi Petugas Harus Ditindak Tegas,0
313,Tingkat Kepatuhan Pemilih Pilkada Terhadap Protokol Kesehatan Di Atas 90 Persen,0
314,Kabupaten Ngada Contoh Penyelenggaraan Pilkada Yang Aman Dari COVID-19,0
315,DKI Jakarta Sumbang Kesembuhan Harian Terbanyak,0
316,Risma: Pengawasan Ketat Membuat Kecenderungan Kasus COVID-19 di Surabaya Turun,0
317,Pramuka Peduli Lawan Pandemi COVID,0
318,Bahagia Melawan COVID-19,0
319,Pasien Sembuh Menembus Angka 251.481 Kasus,0
320,Yuri: Penerapan SE Gugus Tugas Nomor 8/2020 Sudah Baik Pada Hari Pertama,0
321,Bantuan Logistik Alat Material Kesehatan Diupayakan Terdistribusi Merata ke Daerah,0
322,Workshop Peningkatan Kapasitas Pemerintah Daerah oleh Pusbindiklatren Bappenas,1
323,Pemanfaatan Dana Desa untuk Cegah dan Tangani Penyebaran COVID-19,0
324,Satgas Peringatkan Potensi Kenaikan Keterisian Tempat Tidur RS,0
325,Masuk Kota Sukabumi Harus Memiliki Surat Keterangan dari Kepolisian Domisili,1
326,Dua Orang Pria Meninggal Dunia Akibat Kekerasan Polisi Saat Aksi Protes Anti-Vaksin dan Anti-Masker di London,1
327,Ahli Epidemiologi Imbau Masyarakat Tetap Waspada Potensi Penularan COVID-19 di Zona Hijau,0
328,Video dr. Cheng: Sembuh Dari COVID-19 Cukup dengan Vitamin C,1
329,Total Pasien Sembuh Sudah Berjumlah 491.975 Orang,0
330,Gugus Tugas Ambil Langkah Responsif Tangani Persoalan RS Darurat Wisma Atlet,0
331,"Kasus Meninggal COVID-19 Menurun, Pasien Sembuh Bertambah 913 Orang",0
332,Pemerintah Optimis Kebersamaan Seluruh Komponen Bangsa Mampu Lawan COVID-19,0
333,Infografis COVID-19 (4 Oktober 2020),0
334,"Tak Hanya Pasien, Tenaga Medis RSD Wisma Atlet Butuh Kesehatan Mental",0
335,Daun Mimba Dapat Menyembuhkan Covid-19,1
